RestaurantID,Restaurant Name,Latitude,Longitude,Address,Type,Cuisines,Style,Has_Online_delivery,Has_Table_booking,Has_Wifi,Price,Product_quality(10),Serving_quality(10),Interior_design(10),Average_rating(5),Total votes,Link_Gốc
314,Bếp Nhà Mây - Bánh Bông Lan - Shop Online,10.7850820000000,106.7294150000000,"Tiệm Bánh Online, Quận 2, TP. HCM",,,,yes,yes,yes,20.000 -80.000,8.0,8.1,7.9,7.8,27,https://www.foody.vn/ho-chi-minh/bep-nha-may-banh-bong-lan-shop-online
315,Zone - Gaming Lounge & Coffee,10.7942282639173,106.7345313727855,"23 Đường Số 7, P. An Phú, Quận 2, TP. HCM",,,,no,no,yes,20.000 -50.000,7.9,7.5,7.6,7.6,13,https://www.foody.vn/ho-chi-minh/zone-gaming-lounge-coffee
316,Bánh Mì Ngon - Lẩu Đuôi Bò,10.7977624000000,106.7383810000000,"3 Thái Thuận, P. An Phú, Quận 2, TP. HCM",,,,no,no,no,20.000 -150.000,6.9,7.0,6.9,7.0,12,https://www.foody.vn/ho-chi-minh/banh-mi-ngon-lau-duoi-bo
317,Iyo Frozen Yogurt - Cantavil Premier,10.8012590000000,106.7439610000000,"Tầng 5 Parkson Cantavil, 1 Song Hành, P. An Phú, Quận 2, TP. HCM",,,,no,no,yes,25.000 -100.000,7.0,7.3,6.9,6.9,9,https://www.foody.vn/ho-chi-minh/iyo-frozen-yogurt-parkson-cantavil
318,Dookki Việt Nam - Lẩu & Buffet Tokpokki - Vincom Mega Mall Thảo Điền,10.8021560000000,106.7404930000000,"Tầng 5 Vincom Mega Mall Thảo Điền, 161 Xa Lộ Hà Nội, P. Thảo Điền, Quận 2, TP. HCM",,,,yes,yes,yes,39.000 -495.000,7.3,7.0,7.5,7.3,11,https://www.foody.vn/ho-chi-minh/dookki-viet-nam-lau-buffet-tokpokki-vincom-mega-mall-thao-dien
319,B&A Cafe - Bờ Sông Sài Gòn,10.7980940000000,106.7291720000000,"Đường 19, Trần não, Quận 2, TP. HCM",,,,no,no,no,20.000 -44.000,6.2,6.3,7.7,6.9,18,https://www.foody.vn/ho-chi-minh/ba-cafe-bo-song-sai-gon
320,Làng Nướng Lý Ngư,10.7842710000000,106.7690870000000,"108 Lê Văn Thịnh, P. Bình Trưng Đông, Quận 2, TP. HCM",,,,no,no,yes,25.000 -330.000,7.4,7.9,8.3,7.8,7,https://www.foody.vn/ho-chi-minh/lang-nuong-ly-ngu
321,Nhà Hàng 13 - Ẩm Thực Việt,10.8059810000000,106.7440550000000,"23 Nguyễn Ư Dĩ, Quận 2, TP. HCM",,,,no,yes,no,80.000 -132.000,6.5,6.1,6.9,6.3,13,https://www.foody.vn/ho-chi-minh/nha-hang-13-mon-viet
322,Vịt 3 Món Mỹ Lợi,10.7857910000000,106.7725020000000,"15B Đường Số 2, P. Bình Trưng Đông, Quận 2, TP. HCM",,,,no,yes,no,100.000 -330.000,7.1,6.6,6.8,6.4,13,https://www.foody.vn/ho-chi-minh/vit-3-mon-my-loi
323,Oishi Town - Phố Ẩm Thực Nhật Bản,10.8046588000000,106.7368825000000,"28 Thảo Điền, Quận 2, TP. HCM",,,,no,no,no,15.000 -300.000,8.3,7.9,8.1,7.7,9,https://www.foody.vn/ho-chi-minh/oishi-town-pho-am-thuc-nhat-ban
324,Saigon Social Space - Nhà Hàng Á Âu,10.7630680000000,106.7594210000000,"53 Quách Giai, P. Thạnh Mỹ Lợi, Quận 2, TP. HCM",,,,no,yes,yes,50.000 -500.000,8.2,8.6,9.2,8.4,10,https://www.foody.vn/ho-chi-minh/saigon-social-space-nha-hang-a-au
325,Lẩu Hoàng Yến - Estella Place,10.8020280000000,106.7482350000000,"Tầng 2 Estella Place, 88 Song Hành, P. An Phú, Quận 2, TP. HCM",,,,no,yes,yes,100.000 -500.000,8.3,8.5,8.3,8.3,11,https://www.foody.vn/ho-chi-minh/lau-hoang-yen-estella-place
326,Lubu Restaurant - Thảo Điền,10.8081990000000,106.7333630000000,"97B Thảo Điền, Quận 2, TP. HCM",,,,no,no,yes,30.000 -3.300.000,7.8,7.2,8.0,7.6,5,https://www.foody.vn/ho-chi-minh/lubu-restaurant-thao-dien
327,Marduk - Korean Restaurant -  An Phú,10.7981776000000,106.7382787000000,"11 Thái Thuận, Phường An Phú, Quận 2, TP. HCM",,,,yes,no,yes,,9.3,9.1,9.1,8.8,8,https://www.foody.vn/ho-chi-minh/marduk-korean-restaurant-an-phu
