source,area_code,source_file,district_city,province,num_addresses,top_district_candidates,top_province_candidates
foody,74,D74.csv,Tp. Vũng Tàu,Vũng Tàu,93,Tp. Vũng Tàu (82) | Tp. Bà Rịa (10) | Huyện Châu Đức (1),Vũng Tàu (93)
foody,79,D79.csv,Quận Ninh Kiều,Cần Thơ,78,Quận Ninh Kiều (66) | Quận Cái Răng (7) | Quận Bình Thủy (5),Cần Thơ (78)
foody,80,D80.csv,Quận Ninh Kiều,Cần Thơ,47,Quận Ninh Kiều (42) | Quận Cái Răng (4) | Quận Bình Thủy (1),Cần Thơ (47)
foody,83,D83.csv,Tp. Vũng Tàu,Vũng Tàu,101,Tp. Vũng Tàu (86) | Tp. Bà Rịa (11) | Thị Xã Phú Mỹ (2),Vũng Tàu (101)
foody,84,D84.csv,Tp. Vũng Tàu,Vũng Tàu,32,Tp. Vũng Tàu (30) | Tp. Bà Rịa (2),Vũng Tàu (32)
foody,85,D85.csv,Thành Phố Long Xuyên,An Giang,27,Thành Phố Long Xuyên (21) | Thành Phố Châu Đốc (5) | Huyện Phú Tân (1),An Giang (27)
foody,86,D86.csv,Thành Phố Thủ Dầu Một,Bình Dương,85,Thành Phố Thủ Dầu Một (39) | Thị Xã Thuận An (23) | Thị Xã Dĩ An (17),Bình Dương (85)
foody,88,D88.csv,Tp. Vũng Tàu,Vũng Tàu,68,Tp. Vũng Tàu (58) | Tp. Bà Rịa (8) | Huyện Long Điền (1),Vũng Tàu (68)
foody,98,D98.csv,Thành Phố Long Xuyên,An Giang,10,Thành Phố Long Xuyên (10),An Giang (10)
foody,99,D99.csv,Thành Phố Long Xuyên,An Giang,17,Thành Phố Long Xuyên (15) | Huyện Châu Thành (1) | Thành Phố Châu Đốc (1),An Giang (17)
shopee,1,D1.csv,Thành Phố Thủ Đức,TP. HCM,200,Thành Phố Thủ Đức (26) | Quận 5 (19) | Quận 11 (17),TP. HCM (200)
shopee,10,D10.csv,Thị xã Thủ Dầu Một,Bình Dương,7,Thị xã Thủ Dầu Một (4) | Dĩ An (2) | Thuận An (1),Bình Dương (7)
shopee,1000,D1000.csv,Tp. Biên Hòa,Đồng Nai,5,Tp. Biên Hòa (5),Đồng Nai (5)
shopee,11,D11.csv,Quận Ninh Kiều,Cần Thơ,7,Quận Ninh Kiều (6) | Quận Cái Răng (1),Cần Thơ (7)
shopee,12,D12.csv,Quận Ninh Kiều,Cần Thơ,7,Quận Ninh Kiều (5) | Quận Cái Răng (1) | Quận Bình Thủy (1),Cần Thơ (7)
shopee,14,D14.csv,Quận Ninh Kiều,Cần Thơ,18,Quận Ninh Kiều (12) | Quận Cái Răng (4) | Quận Bình Thủy (2),Cần Thơ (18)
shopee,15,D15.csv,Quận Ninh Kiều,Cần Thơ,8,Quận Ninh Kiều (7) | Quận Bình Thủy (1),Cần Thơ (8)
shopee,16,D16.csv,Quận Ninh Kiều,Cần Thơ,8,Quận Ninh Kiều (6) | Quận Bình Thủy (1) | Quận Cái Răng (1),Cần Thơ (8)
shopee,17,D17.csv,Quận Ninh Kiều,Cần Thơ,8,Quận Ninh Kiều (6) | Quận Cái Răng (2),Cần Thơ (8)
shopee,18,D18.csv,Quận Ninh Kiều,Cần Thơ,15,Quận Ninh Kiều (14) | Quận Bình Thủy (1),Cần Thơ (15)
shopee,19,D19.csv,Quận Ninh Kiều,Cần Thơ,12,Quận Ninh Kiều (12),Cần Thơ (12)
shopee,2,D2.csv,Thành Phố Thủ Đức,TP. HCM,198,Thành Phố Thủ Đức (19) | Gò Vấp (19) | Bình Thạnh (19),TP. HCM (198)
shopee,20,D20.csv,Quận Ninh Kiều,Cần Thơ,7,Quận Ninh Kiều (7),Cần Thơ (7)
