RestaurantID,Restaurant Name,Latitude,Longitude,Address,Type,Cuisines,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Style,Has_Online_delivery,Has_Table_booking,Has_Wifi,Price,Product_quality(10),Serving_quality(10),Interior_design(10),Average_rating(5),Total votes
11,Gà Rán Popeyes - Trần Hưng Đạo (Cần Thơ),10.0351663000000,105.7756567000000,"153 Trần Hưng Đạo , Phường An Phú, Quận Ninh Kiều, Tp. Cần Thơ, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Gà rán ,  Hamburger ,  Pizza & Pasta ,  Xúc xích ,  Fastfood - Thức ăn nhanh",10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,,no,no,no,,0.0,0.0,0.0,_._,0
12,Pizza Hủ Tiếu Bp's,10.0358352000000,105.7823579999999,"38 Trương Định, Quận Ninh Kiều, Cần Thơ",Ăn vặt/vỉa hè,"Bánh mì ,  Ăn vặt - Ăn nhẹ ,  Thức uống",16:00 - 22:00,16:00 - 22:00,16:00 - 22:00,16:00 - 22:00,16:00 - 22:00,16:00 - 22:00,16:00 - 22:00,Món Miền Nam,no,yes,yes,23.000đ - 25.000,8.0,8.0,6.0,7.2,1
13,Mì Cay & Mì Trộn Quyên Quyên,10.0030966000000,105.7566188000000,"Đường Số 4, KDC Thận Mỹ, P. Lê Bình, Quận Cái Răng, Cần Thơ",Quán ăn,"Pizza & Pasta ,  Ăn vặt - Ăn nhẹ ,  Fastfood - Thức ăn nhanh",17:00 - 22:30,17:00 - 22:30,17:00 - 22:30,17:00 - 22:30,17:00 - 22:30,17:00 - 22:30,17:00 - 22:30,,no,no,no,,0.0,0.0,0.0,_._,0
14,Pizza Nhà Shino - Shop Online,10.0442160000000,105.7905100000000,"29 Lê Lợi, Quận Ninh Kiều, Cần Thơ",Shop Online,,09:00 - 21:30,09:00 - 21:30,09:00 - 21:30,09:00 - 21:30,09:00 - 21:30,09:00 - 21:30,09:00 - 21:30,"Món Âu ,  Ý",yes,yes,yes,30.000đ - 90.000,0.0,0.0,0.0,_._,0
15,DK - Coffee & Spaghetti,10.0425190000000,105.7562960000000,"103 Trần Văn Long, P. An Khánh, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Món nước ,  Pizza & Pasta ,  Sinh tố - Nước ép ,  Thức uống ,  Nước ngọt",07:00 - 15:00,07:00 - 15:00,07:00 - 15:00,07:00 - 15:00,07:00 - 15:00,07:00 - 15:00,07:00 - 15:00,Món Việt,no,no,no,18.000đ - 25.000,0.0,0.0,0.0,_._,0
16,Bánh Tacos - Nhà Văn Hoá Thiếu Nhi,10.0326088000000,105.7820625000000,"2 Lý Tự Trọng, P. Tân An, Quận Ninh Kiều, Cần Thơ",Ăn vặt/vỉa hè,"Bánh mì ,  Hamburger ,  Pizza & Pasta ,  Bánh - Kẹo ,  Fastfood - Thức ăn nhanh",06:00 - 21:30,06:00 - 21:30,06:00 - 21:30,06:00 - 21:30,06:00 - 21:30,06:00 - 21:30,06:00 - 21:30,,no,yes,yes,,0.0,0.0,0.0,_._,0
17,OISHII - Enjoy Pasta - Trần Phú,10.0489600000000,105.7861600000000,"120/112A Trần Phú, P. Cái Khế, Quận Ninh Kiều, Cần Thơ",Quán ăn,"Salad ,  Fastfood - Thức ăn nhanh",08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,,no,no,no,,0.0,0.0,0.0,_._,0
18,Nướng Tâm Ký,10.0024400000000,105.7564300000000,"89 Trần Chiên, P. Lê Bình, Quận Cái Răng, Cần Thơ",Quán ăn,"Pizza & Pasta ,  Fastfood - Thức ăn nhanh",14:00 - 23:00,14:00 - 23:00,14:00 - 23:00,14:00 - 23:00,14:00 - 23:00,14:00 - 23:00,14:00 - 23:00,,no,no,no,,0.0,0.0,0.0,_._,0
19,Mỳ Ý 719 - Lý Tự Trọng,10.0379100000000,105.7766700000000,"177 Lý Tự Trọng, P. An Phú, Quận Ninh Kiều, Cần Thơ",Quán ăn,Fastfood - Thức ăn nhanh,15:00 - 22:00,15:00 - 22:00,15:00 - 22:00,15:00 - 22:00,15:00 - 22:00,15:00 - 22:00,15:00 - 22:00,,no,no,no,,0.0,0.0,0.0,_._,0
20,Ma Famille Cafeteria,10.0346680000000,105.7809160000000,"85-87 Trương Định, P. An Cư, Quận Ninh Kiều, Cần Thơ","Café/Dessert , Tiệm bánh","Bánh - Kẹo ,  Café - Kem",08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,Món Việt,yes,yes,yes,20.000đ - 75.000,7.9,8.1,8.6,7.9,233
