RestaurantID,Restaurant Name,Latitude,Longitude,Address,Type,Cuisines,Style,Has_Online_delivery,Has_Table_booking,Has_Wifi,Price,Product_quality(10),Serving_quality(10),Interior_design(10),Foody_points(5),Shopee_points(5)
19,Mì Cay Naga - 363 Huỳnh Tấn Phát,10.7384227026008,106.7307893559336,"363 Huỳnh Tấn Phát, Quận 7, TP. HCM",,,,no,no,yes,35.000 -49.000,8.0,8.0,8.0,2.4,0.0
19,Mì Cay Naga - Linh Xuân,10.8739958936792,106.7651457059905,"11 Quốc Lộ 1K, Tp. Thủ Đức, TP. HCM",,,,no,no,no,25.000 -35.000,0.0,0.0,0.0,2.4,0.0
19,Mì Cay Naga - Phạm Hữu Tâm,10.9785544,106.4990008,"29 Phạm Hữu Tâm, Huyện Củ Chi, TP. HCM",,,,no,no,no,30.000 -50.000,0.0,0.0,0.0,2.4,0.0
19,Mì Cay Naga - Cây Trâm,10.8426678,106.6551846,"146 Cây Trâm, Quận Gò Vấp, TP. HCM",,,,no,no,yes,30.000 -45.000,6.4,0.0,6.9,2.4,0.0
20,Gong Cha - Trà & Cà Phê - Nguyễn Huệ - HCM,10.774261,106.703887,"Gian Hàng A, Số 52 - 54 Nguyễn Huệ, P. Bến Nghé, Quận 1, TP. HCM",,,,no,no,yes,40.000 -80.000,7.2,6.5,6.4,3.4,0.0
20,Gong Cha - Trà & Cà Phê - Phú Mỹ Hưng,10.7217,106.712981,"SB-02, 201 Tôn Dật Tiên, P. Tân Phong, Quận 7, TP. HCM",,,,yes,no,yes,40.000 -80.000,6.8,6.2,6.6,3.4,0.0
20,Trà Sữa Gong Cha - 貢茶 - Phan Xích Long,10.7979271,106.6896557,"240 Phan Xích Long, P. 7, Quận Phú Nhuận, TP. HCM",,,,yes,yes,no,40.000 -80.000,6.7,0.0,6.1,3.4,0.0
20,Gong Cha - Trà & Cà Phê - Nguyễn Đình Chiểu,10.7883998,106.6992664,"70 Nguyễn Đình Chiểu, P. Đa Kao, Quận 1, TP. HCM",,,,no,no,yes,40.000 -80.000,7.1,6.3,6.6,3.4,0.0
20,Gong Cha - Trà & Cà Phê - An Dương Vương,10.7582476,106.6759459,"498 An Dương Vương, P. 4, Quận 5, TP. HCM",,,,no,no,yes,40.000 -80.000,7.3,6.8,6.4,3.4,0.0
20,Gong Cha - Trà & Cà Phê - Phan Văn Trị,10.824252,106.69121,"507 Phan Văn Trị, P. 5, Quận Gò Vấp, TP. HCM",,,,yes,no,yes,40.000 -80.000,7.1,6.5,6.8,3.4,0.0
20,Gong Cha - Trà & Cà Phê - Nguyễn Sơn,10.780868,106.634209,"7 Nguyễn Sơn, P. Phú Thạnh, Quận Tân Phú, TP. HCM",,,,no,no,yes,40.000 -80.000,6.7,6.4,6.4,3.4,0.0
20,Gong Cha - Trà & Cà Phê - Nguyễn Thái Bình,10.7996652,106.6586734,"59 Nguyễn Thái Bình, P. 4, Quận Tân Bình, TP. HCM",,,,no,no,yes,30.000 -50.000,6.8,6.3,6.2,3.4,0.0
20,Gong Cha - Trà & Cà Phê - Hồ Bán Nguyệt,10.725645,106.72039,"Tòa Nhà Cresent Residence 2 - CR2-05, 107 Tôn Dật Tiên, P. Tân Phú, Quận 7, TP. HCM",,,,no,no,yes,30.000 -50.000,7.1,6.3,6.8,3.4,0.0
20,Gong Cha - Trà & Cà Phê - Vinhomes Central Park,10.790728,106.72144,"Tòa Central 1, SH04 Vinhomes Central Park, 208 Nguyễn Hữu Cảnh, P. 22, Quận Bình Thạnh, TP. HCM",,,,no,no,yes,40.000 -80.000,7.6,7.2,7.1,3.4,0.0
20,Gong Cha - Trà & Cà Phê - Thủ Đức,10.849685,106.76687,"101 Dân Chủ, P. Bình Thọ, Tp. Thủ Đức, TP. HCM",,,,yes,no,yes,30.000 -50.000,6.3,0.0,6.7,3.4,0.0
20,Gong Cha - Trà & Cà Phê - Thảo Điền Pearl,10.8013462,106.7335076,"L1-23-L1-24, Tầng 1, Thảo Điền Pearl, 12 Quốc Hương, P. Thảo Điền, Tp. Thủ Đức, TP. HCM",,,,yes,no,yes,40.000 -80.000,7.3,6.9,7.4,3.4,0.0
21,Lẩu Cua Đất Mũi - Quang Trung,10.8413857,106.6440373,"769 Quang Trung, P. 12, Quận Gò Vấp, TP. HCM",,,,no,no,yes,100.000 -200.000,7.9,7.9,8.0,4.8,0.0
22,Bếp Rùa - Chân Gà Rút Xương Ngâm Sả Tắc - Shop Online - Lê Đức Thọ,10.8521862,106.6621294,"1144/28 Lê Đức Thọ, P. 15, Quận Gò Vấp, TP. HCM",,,,yes,yes,yes,65.000 -130.000,9.9,9.9,9.9,4.6,0.0
23,Trà Sữa Xiên Que Hot & Cold - Trần Hưng Đạo,10.767488,106.6944171,"32 Trần Hưng Đạo, P. Phạm Ngũ Lão, Quận 1, TP. HCM",,,,yes,no,yes,20.000 -55.000,6.7,6.0,6.3,3.5,0.0
23,Trà Sữa Xiên Que Hot & Cold - Sư Vạn Hạnh,10.772253,106.669454,"744 Sư Vạn Hạnh, P. 12, Quận 10, TP. HCM",,,,no,no,no,30.000 -88.000,6.5,6.1,6.7,3.5,0.0
23,Trà Sữa Xiên Que Hot & Cold - Bình Chánh,10.73489,106.689466,"132 Đường Số 9A, KDC Trung Sơn, X. Bình Hưng, Huyện Bình Chánh, TP. HCM",,,,no,no,yes,30.000 -88.000,7.0,6.6,7.1,3.5,0.0
23,Trà Sữa Xiên Que Hot & Cold - Trần Não,10.7975052,106.7315421,"13B Trần Não, P. Bình An, Tp. Thủ Đức, TP. HCM",,,,no,no,yes,14.000 -55.000,7.2,6.8,6.9,3.5,0.0
23,Trà Sữa Xiên Que Hot & Cold - Nguyễn Thị Thập,10.7390726,106.710057,"390A Nguyễn Thị Thập, P. Tân Quy, Quận 7, TP. HCM",,,,yes,no,no,14.000 -55.000,7.3,6.7,7.1,3.5,0.0
23,Trà Sữa Xiên Que Hot & Cold - Hậu Giang,10.749673,106.647062,"64 Hậu Giang, P. 6, Quận 6, TP. HCM",,,,no,no,no,20.000 -55.000,7.4,7.1,7.5,3.5,0.0
23,Trà Sữa Xiên Que Hot & Cold - Quang Trung,10.837651,106.654696,"804 Quang Trung, Quận Gò Vấp, TP. HCM",,,,no,no,no,30.000 -80.000,6.5,0.0,6.1,3.5,0.0
23,Trà Sữa Xiên Que Hot & Cold - Lũy Bán Bích,10.7764907,106.6338926,"384 Lũy Bán Bích, P. Hòa Thạnh, Quận Tân Phú, TP. HCM",,,,no,no,yes,25.000 -50.000,7.1,6.6,7.1,3.5,0.0
23,Trà Sữa Xiên Que Hot & Cold - Tăng Nhơn Phú,10.8288538,106.7718209,"97B Tăng Nhơn Phú, P. Phước Long B, Tp. Thủ Đức, TP. HCM",,,,no,no,yes,30.000 -80.000,7.4,7.2,7.2,3.5,0.0
23,Trà Sữa Xiên Que Hot & Cold - Lê Văn Sỹ,10.7957812,106.6664681,"238B Lê Văn Sỹ, P. 1, Quận Tân Bình, TP. HCM",,,,no,no,yes,20.000 -30.000,6.6,6.4,7.1,3.5,0.0
23,Trà Sữa Xiên Que Hot & Cold - Phạm Hùng,10.7413603,106.6690275,"123Bis Phạm Hùng, P. 4, Quận 8, TP. HCM",,,,no,no,yes,20.000 -55.000,7.2,7.0,7.3,3.5,0.0
23,Trà Sữa Xiên Que Hot & Cold - 393Bis Trần Hưng Đạo,10.7596033,106.6882953,"393Bis Trần Hưng Đạo, P. Cầu Kho, Quận 1, TP. HCM",,,,no,no,yes,2.000 -17.000,8.4,8.4,7.2,3.5,0.0
24,Trái Cây Tô - Ăn Vặt & Bánh Tráng Chấm,10.832952,106.668373,"45/4 Thông Tây Hội, P. 10, Quận Gò Vấp, TP. HCM",,,,yes,yes,yes,26.000 -32.000,6.8,6.6,6.6,4.4,0.0
25,King BBQ - Vua Nướng Hàn Quốc - Vincom Quang Trung,10.829549,106.672121,"B1-11 Vincom Quang Trung, 190 Quang Trung, Quận Gò Vấp, TP. HCM",,,,no,yes,yes,50.000 -500.000,7.8,7.9,7.3,4.5,0.0
26,Deli Food - Bánh Tráng Cuốn Trộn Chấm - Lê Đức Thọ,10.846994,106.6698331,"730/7/5 Lê Đức Thọ, P. 15, Quận Gò Vấp, TP. HCM",,,,yes,no,yes,10.000 -30.000,6.8,6.7,6.5,2.3,0.0
27,Sweet Sushi - Nhi Sushi,10.8246747,106.6857667,"61 Nguyễn Văn Nghi, P. 4, Quận Gò Vấp, TP. HCM",,,,no,no,no,15.000 -250.000,9.0,9.0,7.7,4.7,0.0
28,Busan Korean Food - Phan Văn Trị,10.828068,106.685642,"763 - 765 Phan Văn Trị, P. 7, Quận Gò Vấp, TP. HCM",,,,no,no,yes,40.000 -150.000,6.6,6.2,6.8,1.4,0.0
29,Hana BBQ & Hot Pot Buffet - Phan Văn Trị,10.827647,106.6868369999999,"705 - 707 Phan Văn Trị, P. 7, Quận Gò Vấp, TP. HCM",,,,yes,yes,yes,200.000 -330.000,6.2,0.0,0.0,2.4,0.0
30,Lẩu Thái Đế Vương - Food House - Nguyễn Kiệm,10.813384,106.678743,"800 Nguyễn Kiệm, Quận Gò Vấp, TP. HCM",,,,no,yes,yes,30.000 -200.000,6.6,6.2,6.6,1.8,0.0
31,Làng Vòng - Bún Đậu Mắm Tôm & Bún Chả - Phan Huy Ích,10.83659,106.63583,"236 Phan Huy Ích, P. 12, Quận Gò Vấp, TP. HCM",,,,yes,no,yes,6.000 -69.000,8.6,8.6,8.6,3.8,0.0
32,Pizza Ore - B,10.843196,106.635741,"006 Lô A Chung Cư Khang Gia, Đường Số 45, P. 14, Quận Gò Vấp, TP. HCM",,,,yes,no,yes,25.000 -300.000,7.9,6.2,6.5,4.2,0.0
33,Sky Garden - BBQ & Hot Pot - Phan Văn Trị,10.8287273,106.6824415,"823 Phan Văn Trị, P. 7, Quận Gò Vấp, TP. HCM",,,,no,no,yes,50.000 -594.000,8.0,8.0,7.4,4.5,0.0
34,TL Sushi & Sashimi - Đường 45,10.8427724,106.6382122,"34 Đường Số 45, P. 14, Quận Gò Vấp, TP. HCM",,,,yes,no,yes,10.000 -200.000,8.9,8.8,8.7,4.4,0.0
35,Bún Bò Huế Xưa - Phạm Văn Đồng,10.820156,106.691554,"309 Phạm Văn Đồng, P. 1, Quận Gò Vấp, TP. HCM",,,,no,no,no,15.000 -35.000,7.5,7.5,7.5,4.1,0.0
36,Tàu Hũ Orisoy - Quang Trung,10.828353,106.674618,"171 Quang Trung, P. 10, Quận Gò Vấp, TP. HCM",,,,no,no,no,20.000 -33.000,6.4,6.6,7.0,3.2,0.0
37,Thanh Thúy - Ẩm Thực Miền Trung,10.835806,106.6590334,"679 Quang Trung, P.11, Quận Gò Vấp, TP. HCM",,,,no,no,no,10.000 -30.000,6.7,6.1,6.6,3.0,0.0
38,Bún Chả Cá Nha Trang Hai Lúa - Cây Trâm,10.843738,106.64808,"400 Cây Trâm, Quận Gò Vấp, TP. HCM",,,,no,no,no,20.000 -40.000,8.2,7.4,7.8,2.7,0.0
39,Cánh Đồng Quán - Lẩu Nướng Tại Bàn - Dương Quảng Hàm,10.8324155527134,106.6890880465508,"310/14 Dương Quảng Hàm, P. 5, Quận Gò Vấp, TP. HCM",,,,no,no,yes,50.000 -110.000,6.7,0.0,6.5,2.6,0.0
39,Cánh Đồng Quán - 948A Phạm Văn Đồng,10.813969,106.679406,"948A Phạm Văn Đồng, P. Hiệp Bình Chánh, Quận Gò Vấp, TP. HCM",,,,no,no,yes,50.000 -110.000,0.0,6.8,7.5,2.6,0.0
